guests,bedrooms,beds,bathrooms,price
4,2,2,2,225
4,2,2,1,350
2,1,1,1,101
5,2,2,2,263
2,1,1,1,170
6,3,4,2,166
2,1,1,1,89
4,2,3,2,255
4,1,2,1,106
4,1,2,1,183
4,1,2,1,176
2,1,1,1,257
6,2,3,1,365
1,2,1,1,77
10,3,3,2,549
4,2,2,2,457
2,0,1,1,99
4,1,2,1,140
3,2,3,2,300
2,1,2,1,232
2,0,1,1,92
2,0,1,1,105
3,2,2,2,160
1,0,1,1,139
6,3,3,2,280
4,2,2,1,180
2,1,1,1,150
8,4,4,2,577
2,1,0,1,105
3,0,1,1,171
2,1,1,1,115
2,1,1,1,76
4,1,4,1,213
2,2,2,2,169
4,2,2,2,245
2,2,2,1,219
4,2,3,1,140
2,1,1,1,96
4,1,4,1,120
1,1,1,1,120
4,2,2,1,244
2,1,1,1,79
2,1,1,1,60
2,1,1,1,230
2,1,1,1,122
2,1,1,1,119
2,1,1,1,144
2,1,1,1,95
2,1,1,1,128
2,1,1,1,109
4,2,2,1,125
5,2,2,2,361
2,1,1,1,200
1,1,1,1,175
4,2,2,1,234
2,1,1,1,123
4,0,2,1,144
2,1,1,1,85
2,1,1,1,75
2,1,1,1,240
2,1,1,1,70
1,1,1,1,149
2,1,1,1,110
5,3,5,2,750
2,1,1,1,130
2,1,1,1,170
4,1,2,1,161
6,2,3,2,476
4,2,3,1,235
4,2,3,1,206
4,2,3,1,225
4,1,1,1,400
2,1,1,1,69
1,1,1,1,63
2,1,1,1,90
3,2,2,1,199
2,1,1,1,129
2,1,2,1,135
2,1,1,1,70
2,2,2,1,130
2,1,2,1,100
2,1,1,1,250
2,1,1,1,124
2,1,1,1,120
4,2,2,2,150
2,1,1,1,173
2,1,1,1,150
2,2,2,1,140
2,1,1,1,69
6,2,3,2,320
2,0,1,1,120
2,1,2,1,129
2,1,1,1,175
4,2,2,1,146
1,1,1,1,71
4,2,2,1,240
6,2,3,2,379
1,1,1,1,73
2,0,1,1,139
5,2,3,1,382
6,3,3,2,163
1,1,2,1,72
6,2,3,1,545
10,4,8,3,1829
1,1,1,1,190
6,3,3,2,200
4,2,2,1,360
6,2,4,1,178
3,0,2,1,110
3,1,2,1,132
4,2,2,1,248
2,1,1,1,286
2,1,1,1,125
4,1,2,1,225
4,2,2,1,231
2,1,1,1,59
7,3,4,3,775
4,2,2,1,150
6,2,2,2,205
3,1,1,1,226
2,0,1,1,93
8,4,4,1,650
4,1,1,1,350
4,2,2,1,349
7,3,3,2,284
4,2,2,2,400
2,1,1,1,223
2,1,1,1,108
4,2,3,1,226
4,2,3,1,221
2,0,2,1,249
2,1,1,1,60
6,2,2,1,355
2,2,2,1,150
4,2,4,1,229
4,2,2,2,668
2,1,1,1,219
3,1,1,1,378
4,2,2,1,215
4,1,1,1,193
4,2,2,2,211
3,1,1,1,125
3,1,2,1,172
6,2,3,2,140
5,2,2,1,130
2,1,1,1,516
2,1,1,1,122
2,1,1,1,280
4,1,2,1,350
2,1,1,1,150
2,0,1,1,155
2,1,2,1,159
1,1,2,1,77
2,1,1,2,115
4,3,3,1,432
3,1,1,1,115
6,3,3,2,1047
2,1,1,1,130
2,1,1,1,100
2,1,1,1,150
6,3,3,2,300
2,1,1,1,80
6,3,3,2,382
4,2,3,1,184
2,1,1,1,169
6,2,2,1,375
2,1,1,1,125
1,1,1,1,78
1,1,1,1,57
3,1,2,1,120
2,1,1,1,151
4,2,2,1,119
4,1,1,1,150
2,1,1,2,160
3,1,2,1,128
2,1,1,1,500
4,2,2,2,299
8,3,3,6,2025
2,1,1,1,110
4,1,2,1,196
2,1,1,1,67
6,1,4,1,261
6,2,4,1,204
6,3,3,1,165
4,1,2,1,215
2,1,1,1,208
6,3,4,2,400
4,2,2,2,443
2,1,1,1,100
5,3,3,2,371
5,2,3,2,525
1,1,2,1,60
5,2,2,1,130
3,1,1,1,120
4,2,2,2,292
4,1,2,1,205
2,1,2,1,125
4,2,2,2,309
2,1,1,1,418
1,1,2,1,250
2,1,2,1,95
2,1,1,1,90
2,1,1,1,232
6,2,3,1,189
5,2,3,1,226
4,2,2,2,296
4,1,2,1,165
1,1,1,1,129
3,1,1,1,130
9,3,3,2,349
2,1,1,1,167
2,1,1,1,107
2,0,1,1,129
3,2,1,1,112
4,1,2,1,88
4,1,2,1,218
3,1,1,1,285
2,1,1,1,95
2,1,1,1,141
4,2,2,1,220
3,1,1,1,139
2,1,1,1,145
3,0,1,1,95
2,1,1,1,90
6,2,2,2,206
1,1,1,1,68
5,1,3,1,300
2,1,1,1,333
2,1,1,1,204
2,1,4,1,295
2,2,1,1,145
2,1,1,1,103
2,1,1,1,100
8,5,5,3,850
2,1,1,1,250
2,1,1,1,104
2,1,1,1,87
2,1,1,1,95
2,2,4,2,200
2,1,1,1,109
2,1,1,1,119
4,2,3,1,200
2,1,2,1,150
5,3,3,3,195
2,1,1,1,150
3,1,1,1,130
2,1,1,1,125
4,2,2,2,165
2,1,1,1,160
2,1,1,1,278
3,1,1,1,115
2,1,1,1,212
2,1,1,1,184
3,2,2,2,150
3,2,3,1,159
3,1,1,1,145
6,2,3,2,108
3,2,2,1,165
5,2,3,1,267
4,1,1,1,103
5,2,3,1,299
8,4,4,4,1162
4,2,2,1,145
6,1,2,1,403
2,1,1,1,225
2,1,1,1,151
4,2,2,2,299
4,2,3,1,275
1,3,2,2,117
4,1,1,1,110
3,2,2,1,175
2,1,1,1,150
2,1,1,1,140
2,1,1,1,58
6,2,3,2,270
2,1,1,1,71
5,2,2,1,220
2,1,1,1,109
5,2,1,2,599
2,1,1,1,258
4,2,2,1,155
2,1,1,1,80
4,2,2,1,225
5,2,3,1,281
3,0,2,1,115
4,1,2,1,144
4,1,1,1,200
4,1,2,1,251
4,1,3,1,267
2,1,1,1,151
2,1,1,1,200
3,1,1,1,115
3,2,2,2,148
4,1,2,1,267
4,2,2,2,145
3,1,1,1,120
8,4,4,2,234
2,1,2,1,124
2,1,1,1,140
2,1,1,1,73
3,1,1,1,120
3,2,2,2,263
2,1,1,1,100
2,1,1,1,215
1,1,1,1,91
1,1,1,1,80
3,1,1,1,115
3,1,1,1,140
4,2,2,1,176
2,1,1,1,110
2,0,1,1,149
4,2,2,1,129
2,1,1,1,121
4,2,2,2,145
3,1,1,1,130
4,2,2,1,250
5,1,3,1,243
4,1,3,1,200
6,3,4,1,201
2,1,1,2,139
6,1,2,1,488
5,2,3,1,260
4,1,2,1,257
8,4,4,2,261
1,1,1,1,75
2,1,1,1,89
3,1,1,1,110
4,0,2,1,240
2,1,1,1,106
4,2,2,1,200
4,2,2,2,199
4,1,2,1,90
4,2,2,1,209
5,1,3,1,262
1,1,1,1,54
3,1,1,1,100
4,2,2,2,145
4,2,2,1,250
3,1,2,1,137
4,2,2,1,212
3,2,2,1,173
1,1,1,1,75
4,2,2,1,340
4,1,2,1,250
4,1,2,1,250
2,1,1,1,140
4,1,2,1,270
4,1,2,1,270
4,1,2,1,270
6,2,3,2,395
2,1,1,2,115
8,4,5,4,628
2,1,1,1,160
3,2,2,1,225
1,1,1,1,80
5,3,3,2,300
6,3,3,2,320
4,1,1,1,175
2,1,1,1,105
6,3,3,2,350
5,2,4,1,334
4,2,2,1,145
3,1,1,1,115
2,1,1,2,88
2,0,1,1,109
4,2,2,2,120
10,5,5,4,824
2,1,1,1,110
